Huffman Codes are: 
b 1111110 289
d 111110 579
N 111101111 79
M 1111011101 36
Q 11110111001 18
y 11110111000 16
h 11110110 135
q 1111010 269
p 111100 539
u 1101 2098
a 0110 1709
D 000111110 52
n 0100 1339
l 0101 1362
$ 11000000 113
E 0001111111 27
j 0001111110 27
A 000111101 49
I 000111100 39
f 0001110 153
, 110001 533
g 000110 321
i 1110 2155
. 00010 628
e 001 2664
r 0000 1223
U 11000011000 15
t 0111 1772
c 10000 885
F 1100001101 34
o 10001 928
s 1001 1867
V 110000011 58
^ 101 3968
S 110000010 55
P 11000010 117
m 11001 1004
L 110000110010 5
v 1111111 310
; 110000110011 10
C 110000111 64
